official_code,script_code,origin,card_type
23837054,23837054,ygoprodeck_nine_deck_batch,4
32138660,32138660,ygoprodeck_nine_deck_batch,8225
60634565,60634565,ygoprodeck_nine_deck_batch,8225
8602351,8602351,ygoprodeck_nine_deck_batch,67108897
74974229,74974229,ygoprodeck_nine_deck_batch,67108897
94160895,94160895,ygoprodeck_nine_deck_batch,33
46272804,46272804,ygoprodeck_nine_deck_batch,33
99865167,99865167,ygoprodeck_nine_deck_batch,33
18377261,18377261,ygoprodeck_nine_deck_batch,33
6327734,6327734,ygoprodeck_nine_deck_batch,33
54862960,54862960,ygoprodeck_nine_deck_batch,33
11161666,11161666,ygoprodeck_nine_deck_batch,33
75771170,75771170,ygoprodeck_nine_deck_batch,161
81260679,81260679,ygoprodeck_nine_deck_batch,161
84257640,84257639,ygoprodeck_nine_deck_batch,2
44649322,44649322,ygoprodeck_nine_deck_batch,65538
17255673,17255673,ygoprodeck_nine_deck_batch,524290
57736667,57736667,ygoprodeck_nine_deck_batch,262146
80044027,80044027,ygoprodeck_nine_deck_batch,262146
16433136,16433136,ygoprodeck_nine_deck_batch,262146
79912449,79912449,ygoprodeck_nine_deck_batch,262146
43527730,43527730,ygoprodeck_nine_deck_batch,262146
16310544,16310544,ygoprodeck_nine_deck_batch,130
42705243,42705243,ygoprodeck_nine_deck_batch,4
78199891,78199891,ygoprodeck_nine_deck_batch,4
53174748,53174748,ygoprodeck_nine_deck_batch,4
99188141,99188141,ygoprodeck_nine_deck_batch,1048580
402416,402416,august-2026-nine-deck-batch,65538
1142880,1142880,august-2026-nine-deck-batch,33
1157683,1157683,august-2026-nine-deck-batch,131076
1546123,1546123,august-2026-nine-deck-batch,97
2009101,2009101,august-2026-nine-deck-batch,4129
2783661,2783661,august-2026-nine-deck-batch,65538
3019642,3019642,august-2026-nine-deck-batch,33
3370104,3370104,august-2026-nine-deck-batch,33
